Variable Name,Variable,Length,Format,Table ID,Variable Label,Variable Description
iFEMP_N,Number,8,Binary,Imputation,"for Female Whether this demographic or labor N/A Civilian Employed market variable was imputed (1) or Pop. (16+) Natural not imputed (0). Resources, Construction, and Maintenance Occupations",
iEMP_P,Number,8,Binary,Imputation,"for Civilian Whether this demographic or labor N/A Employed Pop. (16+) market variable was imputed (1) or Production, not imputed (0). Transportation, and Material Moving Occupations",
iMEMP_P,Number,8,Binary,Imputation,"for Male Whether this demographic or labor N/A Civilian Employed market variable was imputed (1) or Pop. (16+) Production, not imputed (0). Transportation, and Material Moving Occupations Type Length Format Table ID (if applicable)1",
iFEMP_P,Number,8,Binary,Imputation,"for Female Whether this demographic or labor N/A Civilian Employed market variable was imputed (1) or Pop. (16+) Production, not imputed (0). Transportation, and Material Moving Occupations iMCBto5 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Center-Based was imputed (1) or not imputed (0) Care – Birth to 5 where the first, second, third, fourth, Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMC6to11 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Center-Based was imputed (1) or not imputed (0) Care – 6 Months to 11 where the first, second, third, fourth, Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMC12to17 Character Imputation for Median Whether this childcare pricing variable N/A Character 5 Price of Center-Based was imputed (1) or not imputed (0) Care – 12 Months to where the first, second, third, fourth, 17 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 iMC18to23 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Center-Based was imputed (1) or not imputed (0) Care - 18 Months to where the first, second, third, fourth, 23 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMC24to29 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Center-Based was imputed (1) or not imputed (0) Care – 24 Months to where the first, second, third, fourth, 29 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMC30to35 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Center-Based was imputed (1) or not imputed (0) Care – 30 Months to where the first, second, third, fourth, 35 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMC36to41 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Center-Based was imputed (1) or not imputed (0) Care – 36 Months to where the first, second, third, fourth, 41 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 iMC42to47 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Center-Based was imputed (1) or not imputed (0) Care – 42 Months to where the first, second, third, fourth, 47 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMC48to53 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Center-Based was imputed (1) or not imputed (0) Care – 48 Months to where the first, second, third, fourth, 53 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMC54toSA Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Center-Based was imputed (1) or not imputed (0) Care – 54 Months to where the first, second, third, fourth, School Age and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMCSA Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Center-Based was imputed (1) or not imputed (0) Care – School Age where the first, second, third, fourth, and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 iMFCCBto5 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – Birth to 5 where the first, second, third, fourth, Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMFCC6to11 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – 6 Months where the first, second, third, fourth, to 11 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMFCC12to17 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – 12 Months where the first, second, third, fourth, to 17 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMFCC18to23 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – 18 Months where the first, second, third, fourth, to 23 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 iMFCC24to29 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – 24 Months where the first, second, third, fourth, to 29 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMFCC30to35 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – 30 Months where the first, second, third, fourth, to 35 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMFCC36to41 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – 36 Months where the first, second, third, fourth, to 41 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMFCC42to47 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – 42 Months where the first, second, third, fourth, to 47 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 iMFCC48to53 Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – 48 Months where the first, second, third, fourth, to 53 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMFCC54toSA Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – 54 Months where the first, second, third, fourth, to School Age and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. iMFCCSA Character 5 Character Imputation for Median Whether this childcare pricing variable N/A Price of Family was imputed (1) or not imputed (0) Childcare – School where the first, second, third, fourth, Age and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75CBto5 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care – where the first, second, third, fourth, Birth to 5 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 i_75C6to11 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care – where the first, second, third, fourth, 6 Months to 11 and fifth digits correspond to the Months different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75C12to17 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care – where the first, second, third, fourth, 12 Months to 17 and fifth digits correspond to the Months different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75C18to23 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care - where the first, second, third, fourth, 18 Months to 23 and fifth digits correspond to the Months different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75C24to29 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care – where the first, second, third, fourth, 24 Months to 29 and fifth digits correspond to the Months different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 i_75C30to35 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care – where the first, second, third, fourth, 30 Months to 35 and fifth digits correspond to the Months different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75C36to41 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care – where the first, second, third, fourth, 36 Months to 41 and fifth digits correspond to the Months different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75C42to47 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care – where the first, second, third, fourth, 42 Months to 47 and fifth digits correspond to the Months different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75C48to53 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care – where the first, second, third, fourth, 48 Months to 53 and fifth digits correspond to the Months different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 i_75C54toSA Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care – where the first, second, third, fourth, 54 Months to School and fifth digits correspond to the Age different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75CSA Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Center-Based Care – where the first, second, third, fourth, School Age and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75FCCBto5 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – where the first, second, third, fourth, Birth to 5 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75FCC6to11 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – 6 where the first, second, third, fourth, Months to 11 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 i_75FCC12to17 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – 12 where the first, second, third, fourth, Months to 17 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75FCC18to23 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – 18 where the first, second, third, fourth, Months to 23 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75FCC24to29 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – 24 where the first, second, third, fourth, Months to 29 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75FCC30to35 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – 30 where the first, second, third, fourth, Months to 35 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 i_75FCC36to41 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – 36 where the first, second, third, fourth, Months to 41 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75FCC42to47 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – 42 where the first, second, third, fourth, Months to 47 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75FCC48to53 Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – 48 where the first, second, third, fourth, Months to 53 Months and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. i_75FCC54toSA Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – 54 where the first, second, third, fourth, Months to School Age and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively. Type Length Format Table ID (if applicable)1 i_75FCCSA Character 5 Character Imputation for 75th Whether this childcare pricing variable N/A Percentile Price of was imputed (1) or not imputed (0) Family Childcare – where the first, second, third, fourth, School Age and fifth digits correspond to the different age group, weekly pricing conversion, statewide to county-level, 50th/75th percentile, and in between years imputations, respectively.",
MCInfant_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A Median Price of childcare price (1) matched all the Center-Based Care – pricing values listed in its age range, Infant (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes.",
MCToddler_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A Median Price of childcare price (1) matched all the Center-Based Care – pricing values listed in its age range, Toddler (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes.",
MCPreschool_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A Median Price of childcare price (1) matched all the Center-Based Care – pricing values listed in its age range, Preschool (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes. Type Length Format Table ID (if applicable)1",
MFCCInfant_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A Median Price of Family childcare price (1) matched all the Childcare - Infant pricing values listed in its age range, (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes.",
MFCCToddler_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A Median Price of Family childcare price (1) matched all the Childcare - Toddler pricing values listed in its age range, (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes.",
MFCCPreschool_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A Median Price of Family childcare price (1) matched all the Childcare - Preschool pricing values listed in its age range, (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes.",
_75CInfant_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A 75th Percentile Price childcare price (1) matched all the of Center-Based Care pricing values listed in its age range, -Infant (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes. Type Length Format Table ID (if applicable)1",
_75CToddler_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A 75th Percentile Price childcare price (1) matched all the of Center-Based Care pricing values listed in its age range, -Toddler (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes.",
_75CPreschool_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A 75th Percentile Price childcare price (1) matched all the of Center-Based Care pricing values listed in its age range, -Preschool (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes.",
_75FCCInfant_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A 75th Percentile Price childcare price (1) matched all the of Family Childcare - pricing values listed in its age range, Infant (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes.",
_75FCCToddler_flag,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A 75th Percentile Price childcare price (1) matched all the of Family Childcare - pricing values listed in its age range, Toddler (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes. Type Length Format Table ID (if applicable)1",
_75FCCPreschool_fl,Number,8,Number,Aggregation,"Flag for Whether this aggregated group’s N/A ag 75th Percentile Price childcare price (1) matched all the of Family Childcare - pricing values listed in its age range, Preschool (2)was the most common pricing value (i.e. mode) included in its age range, or (3) was the highest most frequent pricing value in its age range if there were multiple modes.",
